Field No.,Field Name,Description,Allowable Values
1,Identifier Type,"Report the identifier type for an investment security. If more than one distinct qualifying hedging relationship exists for the security, please list it multiple times.","""CUSIP"", ""ISIN"", ""SEDOL"", ""Internal"""
2,Identifier Value,"Report the identifier value for an investment security. If more than one distinct qualifying hedging relationship exists for the security, please list it multiple times.","CUSIP, ISIN, SEDOL, or internal identifier value"
3,Amortized Cost (USD Equivalent),Report the amortized cost (USD equivalent) of the security being hedged.,Rounded whole dollar amount
4,Market Value (USD Equivalent),Report the market value (USD equivalent) of the security being hedged.,Rounded whole dollar amount
5,Accounting Intent,"Indicate whether the security being hedged is available-for-sale (AFS), held-to-maturity (HTM), or an equity security (EQ).","""AFS"", ""HTM"", ""EQ"""
6,Type of Hedge(s),Report the type of hedge (fair value or cash flow hedge) associated with the holding as defined by ASC 815.,"1 = Fair Value Hedge, 2 = Cash Flow Hedge"
7,Hedged Risk,"Indicate the risk being hedged, among the potential hedged risks described under ASC 815-20-25-12 and ASC 815-20-25-15.","1 = Overall Change in Fair Value or Variability in Cash Flows, 2 = Interest Rate Risk, 3 = Foreign Exchange Risk, 4 = Credit Risk, etc."
8,Hedge Interest Rate,Indicate the benchmark interest rates.,"1 = US Treasury, 2 = LIBOR, 3 = Fed Funds, 4 = Other, 5 = Not applicable"
9,Hedge Percentage,"Portion of the asset being hedged, in decimal format (0-1).","Decimal value up to 4 places, e.g., 0.8756"
10,Hedge Horizon,The latest date of the hedge effectiveness horizon.,yyyy-mm-dd format
11,Hedged Cash Flow,Indicate the cash flow type associated with the hedge.,"1 = Principal & Interest, 2 = Interest Only, etc."
12,Sidedness,Whether the hedge provides a one-sided offset.,"1 = One-sided, 2 = Not One-sided"
13,Hedging Instrument at Fair Value,USD-equivalent fair value of the hedging instrument.,"Rounded whole dollar amount (e.g., 20000000)"
14,Effective Portion of Gains/Losses,Report the effective portion of gains and losses in USD.,Rounded whole dollar amount
15,ASU 2017-12 Hedge Designations,Indicate ASU 2017-12 designations.,"1 = Last-of-Layer, 2 = Selected Contractual Cash Flows, 3 = Not Applicable"
