IdentifierType,IdentifierValue,AmortizedCost_USDEquivalent,MarketValue_USDEquivalent,AccountingIntent,TypeOfHedge,HedgedRisk,HedgeInterestRate,HedgePercentage,HedgeHorizon,HedgedCashFlow,Sidedness,HedgingInstrumentAtFairValue,EffectivePortionOfCumulativeGainsAndLosses,ASU2017-12HedgeDesignations
ISIN,ID-000000,600972.8856,800187.5155,EQ,2,10,2,0.5767,10/17/2024,3,1,1146188.871,363988.1393,3
SEDOL,ID-000001,719327.7337,358832.944,EQ,1,9,1,0.9132,9/13/2012,2,1,1222231.41,279714.5348,2
INTERNAL,ID-000002,717246.2761,245237.4699,AFS,1,10,2,0.9973,2/10/2033,4,1,1508846.898,321018.6504,2
CUSIP,ID-000003,798419.5286,467833.6167,HTM,2,3,1,0.937,2/10/2023,5,1,1094223.163,291769.5005,3
ISIN,ID-000004,733506.1695,328878.7105,HTM,2,9,5,0.957,5/17/2012,1,2,1175785.537,284903.1105,3
ISIN,ID-000005,587728.2375,551008.8964,HTM,1,3,4,0.5534,5/9/2025,1,1,1441771.605,331391.4677,1
CUSIP,ID-000006,790885.9651,617726.6727,EQ,1,3,2,0.233,12/3/2021,1,2,1325149.726,356303.2818,3
ISIN,ID-000007,677161.9924,642822.659,AFS,2,8,1,0.5202,5/25/2015,5,1,1337324.886,352739.1319,3
INTERNAL,ID-000008,830874.2004,564185.0248,EQ,1,5,2,0.0049,1/19/2024,2,1,1596717.097,291843.0086,2
INTERNAL,ID-000009,821454.6916,511769.9081,HTM,2,9,1,0.9324,4/29/2032,4,2,1026090.886,410561.8551,3
CUSIP,ID-000010,593197.3007,565658.4092,EQ,2,8,4,0.5843,7/13/2022,2,2,1703493.621,277903.4134,1
CUSIP,ID-000011,542925.4294,355085.1608,HTM,1,2,3,0.2302,11/22/2023,4,1,1893901.539,245743.9709,3
SEDOL,ID-000012,711407.6276,543963.9309,AFS,1,8,3,0.7152,3/29/2023,2,1,1796168.212,245993.7037,3
INTERNAL,ID-000013,647729.9141,366274.8587,AFS,2,7,3,0.6175,12/6/2013,1,2,1064800.186,256319.7939,3
ISIN,ID-000014,1139331.559,,AFS,2,3,4,0.7738,6/21/2013,4,1,1407295.624,404128.9416,2
CUSIP,ID-000015,774392.4188,492715.1796,EQ,2,4,4,0.4102,1/31/2028,5,2,1255431.499,246010.6278,1
SEDOL,ID-000016,531710.7745,511862.7457,HTM,1,8,5,0.0544,3/31/2029,5,2,1351288.418,209147.9689,2
INTERNAL,ID-000017,790554.7075,456121.9991,EQ,2,1,1,0.9569,1/6/2011,5,1,1212837.521,396545.9202,1
INTERNAL,ID-000018,634588.4833,489379.2891,EQ,1,9,2,0.5649,10/22/2004,6,2,1286532.949,353416.6621,1
INTERNAL,ID-000019,709891.8978,564571.3273,EQ,1,3,3,0.5372,10/22/2009,5,2,1458305.779,252884.096,3
ISIN,ID-000020,632801.5303,659589.7303,HTM,2,3,2,0.2951,5/5/2015,3,1,1225005.055,239795.457,2
CUSIP,ID-000021,812099.094,236823.4161,AFS,1,11,3,0.8474,5/3/2013,3,1,1424195.838,204290.6948,2
CUSIP,ID-000022,615142.332,457973.6123,EQ,1,4,3,0.2082,3/23/2035,5,1,1102819.19,217881.7486,2
SEDOL,ID-000023,530324.2429,526343.889,AFS,2,8,3,0.4181,2/13/2017,6,1,1131418.222,356605.1291,2
ISIN,ID-000024,645979.2819,390671.7358,AFS,2,10,3,0.0349,5/15/2026,6,1,1172010.364,443837.8952,2
CUSIP,ID-000025,541410.3731,764220.8416,AFS,1,7,3,0.3429,11/27/2027,1,2,1016203.674,277943.6583,2
CUSIP,ID-000026,768587.852,580336.449,EQ,2,1,3,0.4059,12/31/2008,6,2,1086550.4,232248.7206,2
INTERNAL,ID-000027,560834.7831,341303.8693,AFS,2,11,4,0.4987,7/10/2008,2,1,1232601.813,240044.2908,3
INTERNAL,ID-000028,942576.7531,543634.6945,EQ,1,4,1,0.7956,9/17/2004,1,1,1555264.66,317978.4047,1
ISIN,ID-000029,972482.3114,613314.8325,HTM,1,7,1,0.6233,7/30/2002,5,1,1452363.722,408078.2064,3
ISIN,ID-000030,702929.8024,264400.9174,HTM,1,3,2,0.6127,2/10/2015,2,1,1273252.371,312687.5175,2
INTERNAL,ID-000031,591102.8803,426000.9458,EQ,2,7,3,0.3137,5/3/2027,1,1,1705277.591,210886.995,2
SEDOL,ID-000032,655125.702,522961.712,HTM,1,5,5,0.5917,8/17/2035,1,1,1084124.313,229406.0685,3
ISIN,ID-000033,847006.5523,631681.5041,EQ,1,9,2,0.6031,10/25/2024,2,2,1332476.007,231542.4517,3
INTERNAL,ID-000034,601176.5052,529957.3802,HTM,2,4,5,0.7741,4/20/2008,2,2,2079592.686,234345.8967,3
CUSIP,ID-000035,616714.5705,361264.5518,AFS,1,10,3,0.8796,4/2/2029,2,1,1432455.241,203285.5127,3
ISIN,ID-000036,681596.1401,484773.9755,AFS,1,5,4,0.9308,9/11/2001,6,1,1032312.885,313560.4083,1
ISIN,ID-000037,717042.4807,389287.2409,EQ,2,2,5,0.5783,4/6/2005,3,2,1822119.121,244084.8982,3
CUSIP,ID-000038,691957.2148,541545.383,HTM,1,11,4,0.1858,8/13/2017,3,2,2033366.592,320132.8228,3
INTERNAL,ID-000039,607145.9531,452362.0478,HTM,2,11,3,0.1177,12/7/2028,5,2,1620101.505,368684.568,3
ISIN,ID-000040,833173.316,447941.2913,AFS,1,2,1,0.8057,4/2/2019,2,1,1253215.502,327019.8647,2
ISIN,ID-000041,822554.2045,660578.6247,HTM,1,9,4,0.7174,4/6/2004,3,2,1847918.796,325968.9802,3
INTERNAL,ID-000042,798256.1333,453346.0465,HTM,2,7,3,0.5564,2/23/2012,3,2,1183143.776,299520.9076,2
SEDOL,ID-000043,859405.6254,416498.9872,HTM,1,9,5,0.0534,5/2/2010,2,1,1426980.569,502272.7501,1
CUSIP,ID-000044,618637.9594,696122.0967,EQ,2,11,2,0.3223,8/13/2013,3,2,1171024.739,271084.0902,1
CUSIP,ID-000045,539115.0878,337973.3415,AFS,2,9,5,0.3488,,6,1,1464538.458,328930.4624,1
SEDOL,ID-000046,547270.6394,441574.067,EQ,1,11,4,0.9346,4/20/2034,6,2,1738291.429,217753.1409,2
SEDOL,ID-000047,759455.7586,405193.8711,AFS,2,11,5,0.3914,11/29/2015,3,1,1158551.167,248733.7535,2
ISIN,ID-000048,,744577.024,HTM,1,11,3,0.9645,4/3/2034,3,1,1176537.272,269500.1532,2
INTERNAL,ID-000049,746095.2142,484043.7023,HTM,1,5,2,0.1025,1/30/2030,1,1,2008563.098,266512.5366,1
SEDOL,ID-000050,774309.8085,497402.3253,AFS,1,5,2,0.4545,8/19/2020,5,1,1157239.603,264556.3209,3
INTERNAL,ID-000051,1045686.589,500963.3892,AFS,1,9,2,0.0782,1/29/2034,4,2,1788495.299,299736.6221,2
